player,country,team,goal,penalty
Luis Suárez,Uruguay,FC Barcelona,40,3
 Cristiano Ronaldo,Portugal,Real Madrid,35,6
Lionel Messi,Argentina,FC Barcelona,26,3
Karim Benzema,France,Real Madrid,24,0
 Neymar,Brazil,FC Barcelona,24,5
Antoine Griezmann,France,Atlético Madrid,22,1
 Aduriz,Spain,Athletic Bilbao,20,3
Gareth Bale,Wales,Real Madrid,19,0
 Rubén Castro,Spain,Real Betis,19,3
 Borja Bastón,Spain,SD Eibar,18,3
 Lucas Pérez,Spain,Deportivo La Coruña,17,1
Youssef El-Arabi,Morocco,Granada CF,16,7
Kevin Gameiro,France,Sevilla FC,16,4
 Iago Aspas,Spain,Celta Vigo,14,1
 Agirretxe,Spain,Real Sociedad,13,0
 Paco Alcácer,Spain,Valencia CF,13,2
Cédric Bakambu,Congo DR,Villarreal CF,12,0
 Charles,Brazil,Málaga CF,12,1
 Javi Guerra,Spain,Rayo Vallecano,12,0
 Nolito,Spain,Celta Vigo,12,1
 Fernando Torres,Spain,Atlético Madrid,11,0
Antonio Sanabria,Paraguay,Sporting Gijón,11,1
 Jonathan Viera,Spain,UD Las Palmas,10,4
 Deyverson,Brazil,Levante UD,9,0
 Jozabed,Spain,Rayo Vallecano,9,0
 Miku,Venezuela,Rayo Vallecano,9,0
 Sergi Enrich,Spain,SD Eibar,9,0
 Willian José,Brazil,UD Las Palmas,9,0
Felipe Caicedo,Ecuador,Espanyol Barcelona,8,0
 Parejo,Spain,Valencia CF,8,2
 Williams,Spain,Athletic Bilbao,8,0
 Carlos Castro,Spain,Sporting Gijón,7,0
Duje Čop,Croatia,Málaga CF,7,1
 Gerard,Spain,Espanyol Barcelona,7,1
John Guidetti,Sweden,Celta Vigo,7,1
 Iborra,Spain,Sevilla FC,7,0
 Jonathas,Brazil,Real Sociedad,7,0
 Morales,Spain,Levante UD,7,0
Fabián Orellana,Chile,Celta Vigo,7,1
 Pablo Sarabia,Spain,Getafe CF,7,0
Hernán Pérez,Paraguay,Espanyol Barcelona,7,0
Ivan Rakitić,Croatia,FC Barcelona,7,0
 Raúl García,Spain,Athletic Bilbao,7,0
James Rodríguez,Colombia,Real Madrid,7,0
 Luis Alberto,Spain,Deportivo La Coruña,6,0
 Mikel Oyarzabal,Spain,Real Sociedad,6,0
Giuseppe Rossi,Italy,Levante UD,6,1
 Rubén Rochina,Spain,Granada CF,6,0
Stefan Šćepović,Serbia,Getafe CF,6,0
Isaac Success,Nigeria,Granada CF,6,0
 Álvaro,Spain,Getafe CF,5,1
 Álvaro Negredo,Spain,Valencia CF,5,0
Sergio Araujo,Argentina,UD Las Palmas,5,0
Éver Banega,Argentina,Sevilla FC,5,1
 Bruno Soriano,Spain,Villarreal CF,5,3
Ángel Correa,Argentina,Atlético Madrid,5,0
Fayçal Fajr,Morocco,Deportivo La Coruña,5,0
 Jesé,Spain,Real Madrid,5,0
 Jony,Spain,Sporting Gijón,5,0
 Koke,Spain,Atlético Madrid,5,0
Adalberto Peñaranda,Venezuela,Granada CF,5,0
 Sabin,Spain,Athletic Bilbao,5,0
 Soldado,Spain,Villarreal CF,5,0
 Tana,Spain,UD Las Palmas,5,0
Carlos Vela,Mexico,Real Sociedad,5,0
 Adrián,Spain,SD Eibar,4,0
 Adrián,Spain,Villarreal CF,4,0
Juanpi Añor,Venezuela,Málaga CF,4,0
 Denis Suárez,Spain,Sevilla FC,4,0
Yannick Ferreira-Carrasco,Belgium,Atlético Madrid,4,0
Yevhen Konoplyanka,Ukraine,Sevilla FC,4,1
 Llorente,Spain,Sevilla FC,4,0
 Lucas Vázquez,Spain,Real Madrid,4,0
 Manucho,Angola,Rayo Vallecano,4,0
 Marco Asensio,Spain,Espanyol Barcelona,4,0
 Santi Mina,Spain,Valencia CF,4,0
 Saúl,Spain,SD Eibar,4,3
 Saúl,Spain,Atlético Madrid,4,0
Jean-Sylvain Babin,France,Granada CF,3,0
 Bebé,Portugal,Rayo Vallecano,3,0
 Bigas,Spain,UD Las Palmas,3,0
Celso Borges,Costa Rica,Deportivo La Coruña,3,0
Fede Cartabia,Argentina,Deportivo La Coruña,3,0
Denis Cheryshev,Russia,Real Madrid,3,0
Pape Diop,Senegal,Espanyol Barcelona,3,0
Gonzalo Escalante,Argentina,SD Eibar,3,0
Alen Halilović,Croatia,Sporting Gijón,3,0
Takashi Inui,Japan,SD Eibar,3,0
 Isco,Spain,Real Madrid,3,0
 Keko,Spain,SD Eibar,3,0
 Lafita,Spain,Getafe CF,3,0
Aymeric Laporte,France,Athletic Bilbao,3,0
 Leo Baptistão,Brazil,Villarreal CF,3,0
 Munir,Spain,FC Barcelona,3,0
Steven N'Zonzi,France,Sevilla FC,3,0
 Pablo Hernández,Spain,Rayo Vallecano,3,0
Germán Pezzella,Argentina,Real Betis,3,0
 Susaeta,Spain,Athletic Bilbao,3,0
 Trashorras,Spain,Rayo Vallecano,3,2
Emiliano Velázquez,Uruguay,Getafe CF,3,0
 Víctor Casadesús,Spain,Levante UD,3,0
 Xabi Prieto,Spain,Real Sociedad,3,1
 Álex,Spain,Deportivo La Coruña,2,0
 Álex Menéndez,Spain,Sporting Gijón,2,0
 André Gomes,Portugal,Valencia CF,2,0
 Arribas,Spain,Deportivo La Coruña,2,0
Christian Atsu,Ghana,Málaga CF,2,0
 Bartra,Spain,FC Barcelona,2,0
Théo Bongonda,Belgium,Celta Vigo,2,0
 Bruma,Portugal,Real Sociedad,2,0
 Camacho,Spain,Málaga CF,2,0
 Camarasa,Spain,Levante UD,2,0
 Capa,Spain,SD Eibar,2,0
 Carmona,Spain,Sporting Gijón,2,0
 Danilo,Brazil,Real Madrid,2,0
 David García,Spain,UD Las Palmas,2,0
Nabil El Zhar,Morocco,UD Las Palmas,2,0
 Embarba,Spain,Rayo Vallecano,2,0
 Eraso,Spain,Athletic Bilbao,2,0
 Fran Rico,Spain,Granada CF,2,0
 Guerrero,Spain,Sporting Gijón,2,0
Pablo Hernández,Chile,Celta Vigo,2,0
Ciro Immobile,Italy,Sevilla FC,2,0
 Isaac Cuenca,Spain,Granada CF,2,0
 Isma López,Spain,Sporting Gijón,2,0
 Llorente,Spain,Rayo Vallecano,2,0
 Marcelo,Brazil,Real Madrid,2,0
 Mario,Spain,Villarreal CF,2,0
Jackson Martínez,Colombia,Atlético Madrid,2,0
 Medrán,Spain,Getafe CF,2,0
Luka Modrić,Croatia,Real Madrid,2,0
 Moi Gómez,Spain,Getafe CF,2,0
 Muniain,Spain,Athletic Bilbao,2,0
Shkodran Mustafi,Germany,Valencia CF,2,0
Alfred N'Diaye,Senegal,Real Betis,2,0
 Oriol Riera,Spain,Deportivo La Coruña,2,0
Thomas Partey,Ghana,Atlético Madrid,2,0
 Pedro León,Spain,Getafe CF,2,0
 Piqué,Spain,FC Barcelona,2,0
 Piti,Spain,Granada CF,2,0
 Raúl Albentosa,Spain,Málaga CF,2,0
Diego Reyes,Mexico,Real Sociedad,2,0
Enzo Roco,Chile,Espanyol Barcelona,2,0
 Rodrigo,Spain,Valencia CF,2,0
 Samuel,Spain,Villarreal CF,2,0
 San José,Spain,Athletic Bilbao,2,0
Roque Santa Cruz,Paraguay,Málaga CF,2,0
 Sergio Álvarez,Spain,Sporting Gijón,2,0
 Sergio Ramos,Spain,Real Madrid,2,0
 Trigueros,Spain,Villarreal CF,2,0
Arda Turan,Turkey,FC Barcelona,2,0
Juan Vargas,Peru,Real Betis,2,0
 Verza,Spain,Levante UD,2,1
 Víctor,Spain,Getafe CF,2,0
 Vitolo,Spain,Sevilla FC,2,0
Daniel Wass,Denmark,Celta Vigo,2,0
 Zé Castro,Portugal,Rayo Vallecano,2,0
 Abraham,Spain,Espanyol Barcelona,1,0
Antolín Alcaráz,Paraguay,UD Las Palmas,1,0
 Alexis,Spain,Getafe CF,1,0
 Álvaro Cejudo,Spain,Real Betis,1,0
 Amaya,Spain,Rayo Vallecano,1,0
 Aritz Elustondo,Spain,Real Sociedad,1,0
 Arruabarrena,Spain,SD Eibar,1,0
Zakaria Bakkali,Belgium,Valencia CF,1,0
Claudio Beauvue,Guadeloupe,Celta Vigo,1,0
 Beñat,Spain,Athletic Bilbao,1,0
 Burgui,Spain,Espanyol Barcelona,1,0
 Cala,Spain,Getafe CF,1,0
 Casemiro,Brazil,Real Madrid,1,0
Gonzalo Castro,Uruguay,Málaga CF,1,0
 Coke,Spain,Sevilla FC,1,0
 Daniel Carriço,Portugal,Sevilla FC,1,0
 David Simón,Spain,UD Las Palmas,1,0
 De Marcos,Spain,Athletic Bilbao,1,0
 Diego González,Spain,Sevilla FC,1,0
Óscar Duarte,Costa Rica,Espanyol Barcelona,1,0
 Duda,Portugal,Málaga CF,1,0
 Édgar,Spain,Granada CF,1,0
 Elustondo,Spain,Athletic Bilbao,1,0
 Emi,Argentina,Getafe CF,1,0
 Escudero,Spain,Sevilla FC,1,0
Bernardo Espinosa,Colombia,Sporting Gijón,1,0
Zouhair Feddal,Morocco,Levante UD,1,0
Sofiane Féghouli,Algeria,Valencia CF,1,0
Augusto Fernández,Argentina,Atlético Madrid,1,0
 Filipe Luís,Brazil,Atlético Madrid,1,0
 Fontàs,Spain,Celta Vigo,1,0
Dimitri Foulquier,France,Granada CF,1,0
 Gabi,Spain,Atlético Madrid,1,0
José Giménez,Uruguay,Atlético Madrid,1,0
Diego Godín,Uruguay,Atlético Madrid,1,0
 Hernán,Spain,UD Las Palmas,1,0
 Hugo Mallo,Spain,Celta Vigo,1,0
 Illarra,Spain,Real Sociedad,1,0
 Iniesta,Spain,FC Barcelona,1,0
 Iñigo Martínez,Spain,Real Sociedad,1,0
 Jaume Costa,Spain,Villarreal CF,1,0
 Joan Jordán,Spain,Espanyol Barcelona,1,0
 João Cancelo,Portugal,Valencia CF,1,0
 Joaquín,Spain,Real Betis,1,0
 Jon Bautista,Spain,Real Sociedad,1,0
 Jonny,Spain,Celta Vigo,1,0
 Juan Muñoz,Spain,Sevilla FC,1,0
 Juanfran,Spain,Deportivo La Coruña,1,0
 Juanfran,Spain,Atlético Madrid,1,0
 Juankar,Spain,Málaga CF,1,0
Michael Krohn-Dehli,Denmark,Sevilla FC,1,0
Toni Kroos,Germany,Real Madrid,1,0
 Lekue,Spain,Athletic Bilbao,1,0
Jefferson Lerma,Colombia,Levante UD,1,0
 Markel Bergara,Spain,Real Sociedad,1,0
Carl Medjani,France,Levante UD,1,0
 Mikel Rico,Spain,Athletic Bilbao,1,0
 Molina,Spain,Real Betis,1,0
Mateo Musacchio,Argentina,Villarreal CF,1,0
Charly Musonda,Belgium,Real Betis,1,0
Dani N'Di,Cameroon,Sporting Gijón,1,0
 Nacho Cases,Spain,Sporting Gijón,1,0
 Pablo Fornals,Spain,Málaga CF,1,0
 Pedro López,Spain,Levante UD,1,0
 Pepe,Portugal,Real Madrid,1,0
 Petros,Brazil,Real Betis,1,0
 Rafinha,Brazil,FC Barcelona,1,0
 Raúl Baena,Spain,Rayo Vallecano,1,0
Vincenzo Rennella,France,Real Betis,1,0
 Reyes,Spain,Sevilla FC,1,0
 Ricardo Costa,Portugal,Granada CF,1,0
Federico Ricca,Uruguay,Málaga CF,1,0
 Roque Mesa,Spain,UD Las Palmas,1,0
 Rubén García,Spain,Levante UD,1,0
 Samu Castillejo,Spain,Villarreal CF,1,0
 Sevilla,Spain,Espanyol Barcelona,1,0
 Simão,Mozambique,Levante UD,1,0
 Tiago,Portugal,Atlético Madrid,1,0
Adnane Tighadouini,Morocco,Málaga CF,1,0
 Tito,Spain,Rayo Vallecano,1,0
Ricky van Wolfswinkel,Netherlands,Real Betis,1,0
 Verdú,Spain,Levante UD,1,0
Thomas Vermaelen,Belgium,FC Barcelona,1,0
 Vicente Gómez,Spain,UD Las Palmas,1,0
 Víctor Álvarez,Spain,Espanyol Barcelona,1,0
 Víctor Sánchez,Spain,Espanyol Barcelona,1,0
Luciano Vietto,Argentina,Atlético Madrid,1,0
 Vigaray,Spain,Getafe CF,1,0
Mubarak Wakaso,Ghana,UD Las Palmas,1,0
Heiko Westermann,Germany,Real Betis,1,0
 Zurutuza,Spain,Real Sociedad,1,0
